Topic,token0,token1,token2,token3,token4,token5,token6,token7,token8,token9
0,income,tax,taxpayer,assessment,commissioner,taxation,assessable,profit,deduction,taxable
1,jury,trial,accuse,verdict,criminal,complainant,murder,applicant,witness,police
2,award,industrial,dispute,arbitration,conciliation,employee,employer,union,organization,industry
3,land,value,owner,crown,council,title,acquisition,property,unimproved,area
4,constitution,jurisdiction,parliament,federal,government,regulation,service,states,council,judicial
5,estate,testator,trustee,trust,gift,property,death,deceased,executor,share
6,compensation,worker,injury,employment,employer,incapacity,work,workers,payment,disease
7,damage,negligence,vehicle,injury,motor,car,road,loss,accident,care
8,company,share,shareholder,profit,capital,dividend,director,asset,business,value
9,offence,sentence,criminal,sentencing,imprisonment,parole,conviction,offender,convict,charge
10,tribunal,applicant,minister,visa,immigration,migration,refugee,review,convention,persecution
11,contract,purchaser,vendor,agreement,sale,purchase,price,money,payment,mortgage
12,child,wife,husband,marriage,matrimonial,family,custody,decree,mother,parent
13,trade,mark,register,registration,patent,registrar,marks,commerce,applicant,business
14,lease,lessee,rent,tenant,lessor,premise,landlord,covenant,agreement,tenancy